,grado_entrada,grado_salida,grado_total,intermediacion,cercania
rusherpop1,2.0,11.0,13.0,2.1613251862525266e-05,0.4577063550036523
benjamdc7,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
danigarciiaa,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
brolbp,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
jhofresam,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
gusar10,0.0,13.0,13.0,0.0031903407109384837,0.45697199533255545
johnzooma32,0.0,13.0,13.0,0.005348604571823309,0.4567055393586006
estrada_alena,0.0,13.0,13.0,0.00010147155934715261,0.45723876240513717
wlps502,0.0,13.0,13.0,0.00047490714518064116,0.4577063550036523
maxmart91095509,1.0,12.0,13.0,5.7753777775213396e-05,0.4578401285985679
emilsaest,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
orlandmejia1,2.0,11.0,13.0,9.034031389884992e-06,0.457439042195941
kaddv,3.0,10.0,13.0,8.635294487656942e-05,0.4578401285985679
eloayez,0.0,13.0,13.0,0.0001090497892454478,0.4569053521948374
interfer95,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
pgnguatemala,13.0,0.0,13.0,4.353313596642011e-05,0.32385776307628694
victorp95913830,0.0,13.0,13.0,0.0009652640365690543,0.45697199533255545
lobo875r,0.0,13.0,13.0,0.0018124532075488107,0.4578401285985679
patriotachapin,0.0,13.0,13.0,0.00010198145118499064,0.45677212421635804
hecch,0.0,13.0,13.0,0.00010691561713668465,0.45710533994747593
cristianvaldez5,0.0,13.0,13.0,0.0017609932573121841,0.45710533994747593
luis26945054,0.0,13.0,13.0,0.00017302027651695307,0.45817490494296575
antonio24772573,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
humbert41818287,1.0,12.0,13.0,0.00021975184281476385,0.4587787377361254
guadalupe2020,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
byrachelm,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
walterquiejnay,0.0,13.0,13.0,0.001349578152171997,0.45697199533255545
acidoanton1107,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
machl1804,1.0,12.0,13.0,1.4136421612885561e-05,0.4581079105132329
chofito63569841,0.0,13.0,13.0,0.00011335089240820603,0.457439042195941
sara20400400,0.0,13.0,13.0,1.7796403663673194e-05,0.4573722627737226
erickpa55587057,0.0,13.0,13.0,0.0001906507033178847,0.457907044723765
haroldo_esteban,0.0,13.0,13.0,3.243785661116832e-05,0.4581079105132329
alexwinngjdm,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
mariosaqui1,2.0,10.0,12.0,3.3168374529208474e-05,0.45817490494296575
jsandoval1982,11.0,1.0,12.0,2.636901808884975e-05,0.3214982042072858
87kikin,1.0,11.0,12.0,3.747362334268115e-05,0.45703865791393145
__m1ng0__,0.0,12.0,12.0,0.0005772825132436872,0.457907044723765
imagengt2,1.0,11.0,12.0,8.648314840469913e-05,0.45650590120938367
kitty7744,0.0,12.0,12.0,0.00081810785228746,0.45677212421635804
davi99022668,0.0,12.0,12.0,0.0001446198184310921,0.4577063550036523
arceydooley,2.0,10.0,12.0,0.00014239635551624417,0.45710533994747593
ueguatemala,12.0,0.0,12.0,1.7608511054566983e-05,0.32272352698805107
bolchevique61,0.0,12.0,12.0,9.381444150284415e-05,0.4573722627737226
eriol_gt,8.0,4.0,12.0,0.00032282868273297247,0.46243542435424356
luisalbert98610,3.0,9.0,12.0,4.474453401792538e-06,0.45804093567251464
fdzoskar,0.0,12.0,12.0,0.0004597294685275237,0.45657242786359664
aolalexthegreat,1.0,11.0,12.0,0.00015125183738192187,0.45750584112149534
alex_balsells,12.0,0.0,12.0,2.8822524731832444e-05,0.3200531208499336
jachec1980,1.0,11.0,12.0,0.00017615000339832638,0.4573055028462998
intebonsa,1.0,11.0,12.0,1.6534270269384344e-05,0.45750584112149534
katiasmor,1.0,11.0,12.0,2.1356141107112706e-05,0.45750584112149534
deliseov,0.0,12.0,12.0,0.000821265845605386,0.4569053521948374
abuelodesiete,9.0,3.0,12.0,9.11576287082922e-05,0.45777323202805376
peluche61808306,0.0,12.0,12.0,0.0001090497892454478,0.4567055393586006
pedroernestoto2,1.0,11.0,12.0,0.00015125183738192187,0.45750584112149534
pito_elsa31549,0.0,12.0,12.0,8.444494347623806e-05,0.45663897391050867
garciadanilo63,2.0,10.0,12.0,1.7306580136166272e-05,0.457907044723765
ruff58723096,0.0,12.0,12.0,3.084199513862573e-05,0.4577063550036523
vivalatinenja,0.0,12.0,12.0,0.00015802168564149608,0.45723876240513717
cruuzfran33,0.0,12.0,12.0,0.0004597294685275237,0.45657242786359664
mendozarendy,1.0,11.0,12.0,1.8514749981955214e-05,0.45723876240513717
jifuture,0.0,12.0,12.0,0.0017392331688603226,0.45663897391050867
licmariorubio,0.0,12.0,12.0,0.0004630520628436016,0.45657242786359664
rb_sativa,0.0,12.0,12.0,0.0003588422460552417,0.45723876240513717
angeldaemonn,1.0,11.0,12.0,3.0196396474924513e-05,0.4579739804122204
lulicar4,0.0,12.0,12.0,1.907677884898222e-05,0.4573055028462998
sharongt8,9.0,3.0,12.0,0.000644115806794245,0.4576394975167981
ositapanda9,0.0,12.0,12.0,0.0008777281409325474,0.4573722627737226
elmaikstrvjs4h,0.0,12.0,12.0,8.677485743334796e-05,0.45650590120938367
erick_lopez199,0.0,12.0,12.0,0.0009048032283241086,0.45703865791393145
cesar012015,0.0,12.0,12.0,0.00010109027639716232,0.4568387284922718
ep_investiga,10.0,2.0,12.0,0.0006694853985693685,0.46100647439670395
noti7guatemala,11.0,1.0,12.0,4.813195535980332e-05,0.46127797408716137
josecif33982901,2.0,10.0,12.0,9.782413330039564e-06,0.45703865791393145
el_ozzymandias,1.0,11.0,12.0,2.5257381186968274e-05,0.4583089526038619
karen_sant35047,1.0,11.0,12.0,1.5634569148009303e-05,0.45750584112149534
mununo57,0.0,12.0,12.0,0.0001315928049104297,0.45663897391050867
elmaschispudo,0.0,12.0,12.0,0.0023427846274388232,0.45723876240513717
licigir21,1.0,10.0,11.0,2.1504348425382333e-05,0.45817490494296575
titolobos1712,0.0,11.0,11.0,0.00012755670318031278,0.45657242786359664
josjcaalmor,0.0,11.0,11.0,1.7251217259876025e-05,0.457439042195941
e_arreola70,0.0,11.0,11.0,1.41181455746914e-05,0.457907044723765
markcoma80,0.0,11.0,11.0,8.444494347623806e-05,0.4564393939393939
billyarmando,0.0,11.0,11.0,0.0008250185420164751,0.45657242786359664
concriteriogt,11.0,0.0,11.0,3.3527244924611883e-06,0.3173943876000405
emegelizama,0.0,11.0,11.0,1.605313251108798e-05,0.4573055028462998
quiquegodoy,11.0,0.0,11.0,1.122411936056274e-05,0.31920529801324504
yolandaquina,0.0,11.0,11.0,0.0006681312538536049,0.45777323202805376
ronyveliz692,6.0,5.0,11.0,0.0013953487646396773,0.45697199533255545
cohen13henry,0.0,11.0,11.0,8.444494347623806e-05,0.4564393939393939
walterfloresg1,0.0,11.0,11.0,8.444494347623806e-05,0.4564393939393939
aleph_____,1.0,10.0,11.0,0.0011166977303986457,0.4567055393586006
leomarksal,2.0,9.0,11.0,5.9329553972270306e-05,0.4568387284922718
maribelmar51429,3.0,8.0,11.0,3.436254687286796e-05,0.45650590120938367
pe00278230,0.0,11.0,11.0,0.00013626945187083275,0.4573055028462998
omaricelaa,5.0,6.0,11.0,0.00016522807962942213,0.4568387284922718
haniasieradavid,5.0,6.0,11.0,2.4457751339900187e-05,0.45717204144170437
wilmervv67,0.0,11.0,11.0,0.00027675008520159755,0.4573055028462998
